"season","week","franchise_id","franchise_score","opponent_id","opponent_score","result"
"2023","16","12","0","5","0","T"
"2023","16","13","0","15","0","T"
"2023","16","14","0","16","0","T"
"2023","16","15","0","13","0","T"
"2023","16","16","0","14","0","T"
"2023","17","1","0","9","0","T"
"2023","17","2","0","10","0","T"
"2023","17","3","0","5","0","T"
"2023","17","4","0","8","0","T"
"2023","17","5","0","3","0","T"
"2023","17","6","216.24","11","210.86","W"
"2023","17","7","0","12","0","T"
"2023","17","8","0","4","0","T"
"2023","17","9","0","1","0","T"
"2023","17","10","0","2","0","T"
"2023","17","11","210.86","6","216.24","L"
"2023","17","12","0","7","0","T"
"2023","17","13","0","15","0","T"
"2023","17","14","0","16","0","T"
"2023","17","15","0","13","0","T"
"2023","17","16","0","14","0","T"
"2023","18","1","0","2","0","T"
"2023","18","2","0","1","0","T"
"2023","18","3","0","5","0","T"
"2023","18","4","0","8","0","T"
"2023","18","5","0","3","0","T"
"2023","18","6","199.02","10","0","W"
"2023","18","7","0","11","0","T"
"2023","18","8","0","4","0","T"
"2023","18","9","0","12","0","T"
"2023","18","10","0","6","199.02","L"
"2023","18","11","0","7","0","T"
"2023","18","12","0","9","0","T"
"2023","18","13","0","15","0","T"
"2023","18","14","0","16","0","T"
"2023","18","15","0","13","0","T"
"2023","18","16","0","14","0","T"
"2024","1","1","106","3","120.02","L"
"2024","1","2","111.78","12","82.82","W"
"2024","1","3","120.02","1","106","W"
"2024","1","4","113.62","9","90.86","W"
"2024","1","5","77.44","7","108.42","L"
"2024","1","6","102.06","8","89.26","W"
"2024","1","7","108.42","5","77.44","W"
"2024","1","8","89.26","6","102.06","L"
"2024","1","9","90.86","4","113.62","L"
"2024","1","10","66.78","13","116.94","L"
"2024","1","11","104.24","14","105.18","L"
"2024","1","12","82.82","2","111.78","L"
"2024","1","13","116.94","10","66.78","W"
"2024","1","14","105.18","11","104.24","W"
"2024","2","1","88.94","4","75.32","W"
"2024","2","2","73.08","7","107.98","L"
"2024","2","3","85.02","14","82.54","W"
"2024","2","4","75.32","1","88.94","L"
"2024","2","5","111.98","11","111.56","W"
"2024","2","6","127.4","10","91.84","W"
"2024","2","7","107.98","2","73.08","W"
"2024","2","8","110.3","12","152.62","L"
"2024","2","9","52.24","13","89.14","L"
"2024","2","10","91.84","6","127.4","L"
"2024","2","11","111.56","5","111.98","L"
"2024","2","12","152.62","8","110.3","W"
"2024","2","13","89.14","9","52.24","W"
"2024","2","14","82.54","3","85.02","L"
"2024","3","1","158.26","9","126.16","W"
"2024","3","2","117.82","11","101.78","W"
"2024","3","3","116.18","5","113.26","W"
"2024","3","4","82.34","14","122.64","L"
"2024","3","5","113.26","3","116.18","L"
"2024","3","6","107.3","13","88.88","W"
"2024","3","7","89.28","8","82","W"
"2024","3","8","82","7","89.28","L"
"2024","3","9","126.16","1","158.26","L"
"2024","3","10","111.58","12","121.84","L"
"2024","3","11","101.78","2","117.82","L"
"2024","3","12","121.84","10","111.58","W"
"2024","3","13","88.88","6","107.3","L"
"2024","3","14","122.64","4","82.34","W"
"2024","4","1","129.16","14","112.6","W"
"2024","4","2","119","3","133.46","L"
"2024","4","3","133.46","2","119","W"
"2024","4","4","107.02","5","90.94","W"
"2024","4","5","90.94","4","107.02","L"
"2024","4","6","92.18","9","122.42","L"
"2024","4","7","91.14","10","94.88","L"
"2024","4","8","0","11","94.2","L"
"2024","4","9","122.42","6","92.18","W"
"2024","4","10","94.88","7","91.14","W"
"2024","4","11","94.2","8","0","W"
"2024","4","12","173.16","13","80","W"
"2024","4","13","80","12","173.16","L"
"2024","4","14","112.6","1","129.16","L"
"2024","5","1","126.78","5","125.48","W"
"2024","5","2","81.84","4","121.06","L"
"2024","5","3","136.74","8","0","W"
"2024","5","4","121.06","2","81.84","W"
"2024","5","5","125.48","1","126.78","L"
"2024","5","6","94.4","12","140.56","L"
"2024","5","7","114.52","13","0","W"
"2024","5","8","0","3","136.74","L"
"2024","5","9","129.02","14","75.66","W"
"2024","5","10","152.76","11","95.14","W"
"2024","5","11","95.14","10","152.76","L"
"2024","5","12","140.56","6","94.4","W"
"2024","5","13","0","7","114.52","L"
"2024","5","14","75.66","9","129.02","L"
"2024","6","1","104.72","2","119","L"
"2024","6","2","119","1","104.72","W"
"2024","6","3","111.74","10","53.6","W"
"2024","6","4","156.14","8","0","W"
"2024","6","5","114.5","14","0","W"
"2024","6","6","133.1","7","120.52","W"
"2024","6","7","120.52","6","133.1","L"
"2024","6","8","0","4","156.14","L"
"2024","6","9","124.36","12","129.6","L"
