"season","week","game_type","franchise_id","franchise_score","opponent_id","opponent_score","result","result_char"
2022,13,0,12,146.34,2,218.66,0,"L"
2022,13,0,13,185.92,7,165.16,1,"W"
2022,13,0,14,190.68,11,130.98,1,"W"
2022,14,0,1,123.86,12,210.52,0,"L"
2022,14,0,2,162.48,6,249.92,0,"L"
2022,14,0,3,198.36,9,186.98,1,"W"
2022,14,0,4,151.28,14,177.86,0,"L"
2022,14,0,5,290.1,13,162.08,1,"W"
2022,14,0,6,249.92,2,162.48,1,"W"
2022,14,0,7,184.58,8,149.36,1,"W"
2022,14,0,8,149.36,7,184.58,0,"L"
2022,14,0,9,186.98,3,198.36,0,"L"
2022,14,0,10,137.22,11,117,1,"W"
2022,14,0,11,117,10,137.22,0,"L"
2022,14,0,12,210.52,1,123.86,1,"W"
2022,14,0,13,162.08,5,290.1,0,"L"
2022,14,0,14,177.86,4,151.28,1,"W"
2022,15,1,2,226.42,5,288.36,0,"L"
2022,15,1,3,142.1,13,212.44,0,"L"
2022,15,1,5,288.36,2,226.42,1,"W"
2022,15,1,6,225.28,7,222.62,1,"W"
2022,15,1,7,222.62,6,225.28,0,"L"
2022,15,1,9,138.52,14,197.84,0,"L"
2022,15,1,13,212.44,3,142.1,1,"W"
2022,15,1,14,197.84,9,138.52,1,"W"
2022,15,-2,1,205.78,10,201.84,1,"W"
2022,15,-2,10,201.84,1,205.78,0,"L"
2022,15,-2,11,160.36,12,159.76,1,"W"
2022,15,-2,12,159.76,11,160.36,0,"L"
2022,16,1,5,247.46,6,201.18,1,"W"
2022,16,1,6,201.18,5,247.46,0,"L"
2022,16,1,13,214.14,14,215.18,0,"L"
2022,16,1,14,215.18,13,214.14,1,"W"
2022,16,-1,2,237.32,7,189.34,1,"W"
2022,16,-1,3,233.7,9,183.86,1,"W"
2022,16,-1,7,189.34,2,237.32,0,"L"
2022,16,-1,9,183.86,3,233.7,0,"L"
2022,16,-2,1,192.12,8,240.7,0,"L"
2022,16,-2,4,162.78,11,126.18,1,"W"
2022,16,-2,8,240.7,1,192.12,1,"W"
2022,16,-2,10,168.54,12,165.5,1,"W"
2022,16,-2,11,126.18,4,162.78,0,"L"
2022,16,-2,12,165.5,10,168.54,0,"L"
2022,17,1,5,198,14,179,1,"W"
2022,17,1,14,179,5,198,0,"L"
2022,17,-1,2,239.54,3,155.28,1,"W"
2022,17,-1,3,155.28,2,239.54,0,"L"
2022,17,-1,6,164.74,13,215.88,0,"L"
2022,17,-1,7,151.02,9,158.4,0,"L"
2022,17,-1,9,158.4,7,151.02,1,"W"
2022,17,-1,13,215.88,6,164.74,1,"W"
2022,17,-2,1,177.58,11,157.62,1,"W"
2022,17,-2,4,142.88,8,106.78,1,"W"
2022,17,-2,8,106.78,4,142.88,0,"L"
2022,17,-2,11,157.62,1,177.58,0,"L"
2023,1,0,1,193.94,11,120.54,1,"W"
2023,1,0,2,154.42,7,195.6,0,"L"
2023,1,0,3,186.52,8,209.8,0,"L"
2023,1,0,4,125.08,12,211,0,"L"
2023,1,0,5,223.96,14,174.32,1,"W"
2023,1,0,6,200.84,13,214.78,0,"L"
2023,1,0,7,195.6,2,154.42,1,"W"
2023,1,0,8,209.8,3,186.52,1,"W"
2023,1,0,9,128.62,10,184.08,0,"L"
2023,1,0,10,184.08,9,128.62,1,"W"
2023,1,0,11,120.54,1,193.94,0,"L"
2023,1,0,12,211,4,125.08,1,"W"
2023,1,0,13,214.78,6,200.84,1,"W"
2023,1,0,14,174.32,5,223.96,0,"L"
2023,2,0,1,246.46,6,182.18,1,"W"
2023,2,0,2,194.62,10,168.28,1,"W"
2023,2,0,3,198.16,14,160.3,1,"W"
2023,2,0,4,250.82,13,213.06,1,"W"
2023,2,0,5,224.86,11,181.48,1,"W"
2023,2,0,6,182.18,1,246.46,0,"L"
2023,2,0,7,226.88,9,203.24,1,"W"
2023,2,0,8,180.32,12,202.94,0,"L"
2023,2,0,9,203.24,7,226.88,0,"L"
2023,2,0,10,168.28,2,194.62,0,"L"
2023,2,0,11,181.48,5,224.86,0,"L"
2023,2,0,12,202.94,8,180.32,1,"W"
2023,2,0,13,213.06,4,250.82,0,"L"
2023,2,0,14,160.3,3,198.16,0,"L"
2023,3,0,1,198.3,5,249.96,0,"L"
2023,3,0,2,215.74,12,184.62,1,"W"
2023,3,0,3,167.68,9,176.44,0,"L"
2023,3,0,4,185.84,11,173.5,1,"W"
2023,3,0,5,249.96,1,198.3,1,"W"
2023,3,0,6,239.02,14,234.12,1,"W"
2023,3,0,7,272.26,13,234.5,1,"W"
2023,3,0,8,150.46,10,218.16,0,"L"
2023,3,0,9,176.44,3,167.68,1,"W"
2023,3,0,10,218.16,8,150.46,1,"W"
2023,3,0,11,173.5,4,185.84,0,"L"
2023,3,0,12,184.62,2,215.74,0,"L"
2023,3,0,13,234.5,7,272.26,0,"L"
2023,3,0,14,234.12,6,239.02,0,"L"
2023,4,0,1,228.62,12,168.28,1,"W"
2023,4,0,2,255.28,13,188.86,1,"W"
2023,4,0,3,188.6,5,205.76,0,"L"
2023,4,0,4,220,8,156.7,1,"W"
2023,4,0,5,205.76,3,188.6,1,"W"
2023,4,0,6,198.7,9,101.08,1,"W"
2023,4,0,7,178.66,14,172.94,1,"W"
2023,4,0,8,156.7,4,220,0,"L"
2023,4,0,9,101.08,6,198.7,0,"L"
2023,4,0,10,147.54,11,203.86,0,"L"
2023,4,0,11,203.86,10,147.54,1,"W"
2023,4,0,12,168.28,1,228.62,0,"L"
2023,4,0,13,188.86,2,255.28,0,"L"
2023,4,0,14,172.94,7,178.66,0,"L"
2023,5,0,1,228.08,8,162.8,1,"W"
2023,5,0,2,202.54,5,277.28,0,"L"
2023,5,0,3,111.2,6,213.38,0,"L"
2023,5,0,4,255.16,7,218.78,1,"W"
2023,5,0,5,277.28,2,202.54,1,"W"
2023,5,0,6,213.38,3,111.2,1,"W"
2023,5,0,7,218.78,4,255.16,0,"L"
2023,5,0,8,162.8,1,228.08,0,"L"
2023,5,0,9,195.04,13,234.02,0,"L"
2023,5,0,10,165,14,147.86,1,"W"
2023,5,0,11,183.48,12,101.48,1,"W"
2023,5,0,12,101.48,11,183.48,0,"L"
2023,5,0,13,234.02,9,195.04,1,"W"
2023,5,0,14,147.86,10,165,0,"L"
2023,6,0,1,222.84,3,169.64,1,"W"
2023,6,0,2,192.94,14,211.78,0,"L"
2023,6,0,3,169.64,1,222.84,0,"L"
2023,6,0,4,197.78,6,142.64,1,"W"
2023,6,0,5,170.6,7,201.56,0,"L"
2023,6,0,6,142.64,4,197.78,0,"L"
2023,6,0,7,201.56,5,170.6,1,"W"
2023,6,0,8,171.98,11,170.76,1,"W"
2023,6,0,9,248.24,12,152.32,1,"W"
2023,6,0,10,115.96,13,220.9,0,"L"
2023,6,0,11,170.76,8,171.98,0,"L"
2023,6,0,12,152.32,9,248.24,0,"L"
2023,6,0,13,220.9,10,115.96,1,"W"
2023,6,0,14,211.78,2,192.94,1,"W"
2023,7,0,1,194.92,13,210.46,0,"L"
2023,7,0,2,216.84,3,134.04,1,"W"
2023,7,0,3,134.04,2,216.84,0,"L"
