"week","franchise_id","franchise_score","opponent_id","opponent_score","result","season"
"17","11","90.18","7","156.04","L","2021"
"17","12","114.58","3","116.58","L","2021"
"17","13","162.98","6","171.34","L","2021"
"17","14","165.64","10","118.16","W","2021"
"1","1","181.5","14","147.82","W","2022"
"1","2","218.38","13","280.24","L","2022"
"1","3","183.82","5","227.78","L","2022"
"1","4","223.7","6","166.5","W","2022"
"1","5","227.78","3","183.82","W","2022"
"1","6","166.5","4","223.7","L","2022"
"1","7","231.12","12","172.86","W","2022"
"1","8","218.42","10","210.88","W","2022"
"1","9","208.2","11","194.16","W","2022"
"1","10","210.88","8","218.42","L","2022"
"1","11","194.16","9","208.2","L","2022"
"1","12","172.86","7","231.12","L","2022"
"1","13","280.24","2","218.38","W","2022"
"1","14","147.82","1","181.5","L","2022"
"2","1","196.2","10","198.56","L","2022"
"2","2","227.68","6","198.56","W","2022"
"2","3","177.86","14","186.88","L","2022"
"2","4","148.12","7","259.42","L","2022"
"2","5","193.5","12","267.86","L","2022"
"2","6","198.56","2","227.68","L","2022"
"2","7","259.42","4","148.12","W","2022"
"2","8","199.44","11","143.28","W","2022"
"2","9","209.68","13","279.7","L","2022"
"2","10","198.56","1","196.2","W","2022"
"2","11","143.28","8","199.44","L","2022"
"2","12","267.86","5","193.5","W","2022"
"2","13","279.7","9","209.68","W","2022"
"2","14","186.88","3","177.86","W","2022"
"3","1","211.54","11","142.88","W","2022"
"3","2","209.72","12","180.28","W","2022"
"3","3","182.74","7","221.6","L","2022"
"3","4","142.12","14","218.98","L","2022"
"3","5","176.44","9","249.32","L","2022"
"3","6","276.9","8","212.16","W","2022"
"3","7","221.6","3","182.74","W","2022"
"3","8","212.16","6","276.9","L","2022"
"3","9","249.32","5","176.44","W","2022"
"3","10","145.98","13","182.34","L","2022"
"3","11","142.88","1","211.54","L","2022"
"3","12","180.28","2","209.72","L","2022"
"3","13","182.34","10","145.98","W","2022"
"3","14","218.98","4","142.12","W","2022"
"4","1","231.48","7","242.62","L","2022"
"4","2","208.26","10","187.9","W","2022"
"4","3","171.42","13","233.56","L","2022"
"4","4","156.42","9","237.42","L","2022"
"4","5","214.78","14","175.46","W","2022"
"4","6","186.6","11","172.16","W","2022"
"4","7","242.62","1","231.48","W","2022"
"4","8","184.24","12","216.62","L","2022"
"4","9","237.42","4","156.42","W","2022"
"4","10","187.9","2","208.26","L","2022"
"4","11","172.16","6","186.6","L","2022"
"4","12","216.62","8","184.24","W","2022"
"4","13","233.56","3","171.42","W","2022"
"4","14","175.46","5","214.78","L","2022"
"5","1","186.32","3","213.92","L","2022"
"5","2","195.24","7","187.94","W","2022"
"5","3","213.92","1","186.32","W","2022"
"5","4","157.9","11","183.4","L","2022"
"5","5","213.88","6","215.52","L","2022"
"5","6","215.52","5","213.88","W","2022"
"5","7","187.94","2","195.24","L","2022"
"5","8","176.5","13","235.72","L","2022"
"5","9","238.34","12","125.5","W","2022"
"5","10","166.64","14","177.3","L","2022"
"5","11","183.4","4","157.9","W","2022"
"5","12","125.5","9","238.34","L","2022"
"5","13","235.72","8","176.5","W","2022"
"5","14","177.3","10","166.64","W","2022"
"6","1","167.44","13","200.46","L","2022"
"6","2","232.34","4","126.52","W","2022"
"6","3","196.46","8","198.32","L","2022"
"6","4","126.52","2","232.34","L","2022"
"6","5","221.84","7","194.12","W","2022"
"6","6","198.32","10","135.72","W","2022"
"6","7","194.12","5","221.84","L","2022"
"6","8","198.32","3","196.46","W","2022"
"6","9","135.2","14","188.66","L","2022"
"6","10","135.72","6","198.32","L","2022"
"6","11","177.32","12","165.06","W","2022"
"6","12","165.06","11","177.32","L","2022"
"6","13","200.46","1","167.44","W","2022"
"6","14","188.66","9","135.2","W","2022"
"7","1","241.5","12","197.32","W","2022"
"7","2","196.24","9","203.24","L","2022"
"7","3","155.02","4","155.96","L","2022"
"7","4","155.96","3","155.02","W","2022"
"7","5","219.96","8","181.94","W","2022"
"7","6","183.06","14","143.14","W","2022"
"7","7","253.32","10","180.44","W","2022"
"7","8","181.94","5","219.96","L","2022"
"7","9","203.24","2","196.24","W","2022"
"7","10","180.44","7","253.32","L","2022"
"7","11","152.42","13","169.52","L","2022"
"7","12","197.32","1","241.5","L","2022"
"7","13","169.52","11","152.42","W","2022"
"7","14","143.14","6","183.06","L","2022"
"8","1","167.74","4","181.28","L","2022"
"8","2","248.22","13","241.64","W","2022"
"8","3","220.1","14","188.32","W","2022"
"8","4","181.28","1","167.74","W","2022"
"8","5","242.08","6","266.7","L","2022"
"8","6","266.7","5","242.08","W","2022"
"8","7","186.52","11","190.72","L","2022"
"8","8","175.46","9","172.14","W","2022"
"8","9","172.14","8","175.46","L","2022"
"8","10","164.08","12","149.1","W","2022"
"8","11","190.72","7","186.52","W","2022"
"8","12","149.1","10","164.08","L","2022"
"8","13","241.64","2","248.22","L","2022"
"8","14","188.32","3","220.1","L","2022"
"9","1","120.72","3","145.76","L","2022"
"9","2","214.9","8","200.54","W","2022"
"9","3","145.76","1","120.72","W","2022"
"9","4","212.24","12","172.9","W","2022"
"9","5","181.06","7","201.16","L","2022"
"9","6","206.34","11","150.2","W","2022"
"9","7","201.16","5","181.06","W","2022"
"9","8","200.54","2","214.9","L","2022"
"9","9","186.04","10","159.18","W","2022"
"9","10","159.18","9","186.04","L","2022"
"9","11","150.2","6","206.34","L","2022"
"9","12","172.9","4","212.24","L","2022"
"9","13","181.26","14","142.26","W","2022"
"9","14","142.26","13","181.26","L","2022"
"10","1","173.66","13","176.16","L","2022"
"10","2","214.28","14","204.54","W","2022"
"10","3","176.26","11","131.7","W","2022"
"10","4","189.66","8","156.5","W","2022"
"10","5","215.28","9","162.26","W","2022"
"10","6","233.42","12","155.84","W","2022"
"10","7","238.54","10","137.82","W","2022"
"10","8","156.5","4","189.66","L","2022"
"10","9","162.26","5","215.28","L","2022"
"10","10","137.82","7","238.54","L","2022"
"10","11","131.7","3","176.26","L","2022"
"10","12","155.84","6","233.42","L","2022"
"10","13","176.16","1","173.66","W","2022"
"10","14","204.54","2","214.28","L","2022"
"11","1","183.66","9","214.78","L","2022"
"11","2","226.58","5","181.98","W","2022"
"11","3","268.3","6","226.68","W","2022"
"11","4","153","7","223.52","L","2022"
"11","5","181.98","2","226.58","L","2022"
"11","6","226.68","3","268.3","L","2022"
"11","7","223.52","4","153","W","2022"
"11","8","200.36","10","133.7","W","2022"
"11","9","214.78","1","183.66","W","2022"
"11","10","133.7","8","200.36","L","2022"
"11","11","102.28","13","182.28","L","2022"
"11","12","141.2","14","228.08","L","2022"
"11","13","182.28","11","102.28","W","2022"
"11","14","228.08","12","141.2","W","2022"
"12","1","119.32","5","181.98","L","2022"
"12","2","229.28","3","243.8","L","2022"
"12","3","243.8","2","229.28","W","2022"
"12","4","201.58","13","204.04","L","2022"
"12","5","181.98","1","119.32","W","2022"
"12","6","173.14","7","259.66","L","2022"
"12","7","259.66","6","173.14","W","2022"
"12","8","122","12","239.86","L","2022"
"12","9","198.5","11","192.92","W","2022"
"12","10","197.6","14","222.2","L","2022"
"12","11","192.92","9","198.5","L","2022"
"12","12","239.86","8","122","W","2022"
"12","13","204.04","4","201.58","W","2022"
"12","14","222.2","10","197.6","W","2022"
"13","1","195.16","6","256.04","L","2022"
"13","2","218.66","12","146.34","W","2022"
"13","3","192.38","8","217.04","L","2022"
"13","4","244.88","9","206.7","W","2022"
"13","5","212.76","10","185.34","W","2022"
"13","6","256.04","1","195.16","W","2022"
"13","7","165.16","13","185.92","L","2022"
"13","8","217.04","3","192.38","W","2022"
"13","9","206.7","4","244.88","L","2022"
"13","10","185.34","5","212.76","L","2022"
"13","11","130.98","14","190.68","L","2022"
"13","12","146.34","2","218.66","L","2022"
"13","13","185.92","7","165.16","W","2022"
"13","14","190.68","11","130.98","W","2022"
"14","1","123.86","12","210.52","L","2022"
"14","2","162.48","6","249.92","L","2022"
"14","3","198.36","9","186.98","W","2022"
"14","4","151.28","14","177.86","L","2022"
"14","5","290.1","13","162.08","W","2022"
"14","6","249.92","2","162.48","W","2022"
"14","7","184.58","8","149.36","W","2022"
"14","8","149.36","7","184.58","L","2022"
"14","9","186.98","3","198.36","L","2022"
"14","10","137.22","11","117","W","2022"
"14","11","117","10","137.22","L","2022"
"14","12","210.52","1","123.86","W","2022"
"14","13","162.08","5","290.1","L","2022"
"14","14","177.86","4","151.28","W","2022"
"15","1","205.78","10","201.84","W","2022"
"15","2","226.42","5","288.36","L","2022"
"15","3","142.1","13","212.44","L","2022"
"15","5","288.36","2","226.42","W","2022"
"15","6","225.28","7","222.62","W","2022"
"15","7","222.62","6","225.28","L","2022"
"15","9","138.52","14","197.84","L","2022"
"15","10","201.84","1","205.78","L","2022"
"15","11","160.36","12","159.76","W","2022"
"15","12","159.76","11","160.36","L","2022"
"15","13","212.44","3","142.1","W","2022"
"15","14","197.84","9","138.52","W","2022"
"16","1","192.12","8","240.7","L","2022"
"16","2","237.32","7","189.34","W","2022"
"16","3","233.7","9","183.86","W","2022"
"16","4","162.78","11","126.18","W","2022"
"16","5","247.46","6","201.18","W","2022"
"16","6","201.18","5","247.46","L","2022"
"16","7","189.34","2","237.32","L","2022"
"16","8","240.7","1","192.12","W","2022"
"16","9","183.86","3","233.7","L","2022"
"16","10","168.54","12","165.5","W","2022"
"16","11","126.18","4","162.78","L","2022"
"16","12","165.5","10","168.54","L","2022"
"16","13","214.14","14","215.18","L","2022"
"16","14","215.18","13","214.14","W","2022"
"17","1","177.58","11","157.62","W","2022"
"17","2","239.54","3","155.28","W","2022"
"17","3","155.28","2","239.54","L","2022"
"17","4","142.88","8","106.78","W","2022"
"17","5","163.76","14","168.72","L","2022"
"17","6","164.74","13","215.88","L","2022"
"17","7","151.02","9","158.4","L","2022"
"17","8","106.78","4","142.88","L","2022"
"17","9","158.4","7","151.02","W","2022"
"17","11","157.62","1","177.58","L","2022"
"17","13","215.88","6","164.74","W","2022"
"17","14","168.72","5","163.76","W","2022"
"1","1","193.94","11","120.54","W","2023"
"1","2","154.42","7","195.6","L","2023"
"1","3","186.52","8","209.8","L","2023"
"1","4","125.08","12","211","L","2023"
"1","5","223.96","14","174.32","W","2023"
"1","6","200.84","13","214.78","L","2023"
"1","7","195.6","2","154.42","W","2023"
"1","8","209.8","3","186.52","W","2023"
"1","9","128.62","10","184.08","L","2023"
"1","10","184.08","9","128.62","W","2023"
"1","11","120.54","1","193.94","L","2023"
"1","12","211","4","125.08","W","2023"
"1","13","214.78","6","200.84","W","2023"
"1","14","174.32","5","223.96","L","2023"
"2","1","246.46","6","182.18","W","2023"
"2","2","194.62","10","168.28","W","2023"
"2","3","198.16","14","160.3","W","2023"
"2","4","250.82","13","213.06","W","2023"
"2","5","224.86","11","181.48","W","2023"
"2","6","182.18","1","246.46","L","2023"
"2","7","226.88","9","203.24","W","2023"
"2","8","180.32","12","202.94","L","2023"
"2","9","203.24","7","226.88","L","2023"
"2","10","168.28","2","194.62","L","2023"
"2","11","181.48","5","224.86","L","2023"
"2","12","202.94","8","180.32","W","2023"
"2","13","213.06","4","250.82","L","2023"
"2","14","160.3","3","198.16","L","2023"
"3","1","198.3","5","249.96","L","2023"
"3","2","215.74","12","184.62","W","2023"
"3","3","167.68","9","176.44","L","2023"
"3","4","185.84","11","173.5","W","2023"
"3","5","249.96","1","198.3","W","2023"
"3","6","239.02","14","234.12","W","2023"
"3","7","272.26","13","234.5","W","2023"
"3","8","150.46","10","218.16","L","2023"
"3","9","176.44","3","167.68","W","2023"
"3","10","218.16","8","150.46","W","2023"
"3","11","173.5","4","185.84","L","2023"
"3","12","184.62","2","215.74","L","2023"
"3","13","234.5","7","272.26","L","2023"
"3","14","234.12","6","239.02","L","2023"
"4","1","228.62","12","168.28","W","2023"
"4","2","255.28","13","188.86","W","2023"
"4","3","188.6","5","205.76","L","2023"
"4","4","220","8","156.7","W","2023"
"4","5","205.76","3","188.6","W","2023"
"4","6","198.7","9","101.08","W","2023"
"4","7","178.66","14","172.94","W","2023"
"4","8","156.7","4","220","L","2023"
"4","9","101.08","6","198.7","L","2023"
"4","10","147.54","11","203.86","L","2023"
"4","11","203.86","10","147.54","W","2023"
"4","12","168.28","1","228.62","L","2023"
"4","13","188.86","2","255.28","L","2023"
"4","14","172.94","7","178.66","L","2023"
"5","1","228.08","8","162.8","W","2023"
"5","2","202.54","5","277.28","L","2023"
"5","3","111.2","6","213.38","L","2023"
"5","4","255.16","7","218.78","W","2023"
"5","5","277.28","2","202.54","W","2023"
"5","6","213.38","3","111.2","W","2023"
"5","7","218.78","4","255.16","L","2023"
"5","8","162.8","1","228.08","L","2023"
"5","9","195.04","13","234.02","L","2023"
"5","10","165","14","147.86","W","2023"
"5","11","183.48","12","101.48","W","2023"
"5","12","101.48","11","183.48","L","2023"
"5","13","234.02","9","195.04","W","2023"
"5","14","147.86","10","165","L","2023"
"6","1","222.84","3","169.64","W","2023"
"6","2","192.94","14","211.78","L","2023"
"6","3","169.64","1","222.84","L","2023"
"6","4","197.78","6","142.64","W","2023"
"6","5","170.6","7","201.56","L","2023"
"6","6","142.64","4","197.78","L","2023"
"6","7","201.56","5","170.6","W","2023"
"6","8","171.98","11","170.76","W","2023"
